Order_ID,Dark_Store_ID,City,Zone,Order_Date,Order_Timestamp,Order_Hour,Day_Type,Time_Period,Promised_SLA_Min,Actual_Delivery_Min,SLA_Met,Delay_Reason,Distance_KM,Item_Count,Order_Value_INR,Rider_ID,Delay_Category
FM102212,DS008,Pune,Hinjewadi,2025-06-01,2025-06-01 00:01:59,0,Weekend,Non-Peak,10.0,6.12,Y,None,0.94,5,494.14,R00816,None
FM101282,DS005,Mumbai,Andheri,2025-06-01,2025-06-01 00:06:31,0,Weekend,Non-Peak,10.0,5.18,Y,None,2.36,1,401.5,R00504,None
FM102296,DS008,Pune,Hinjewadi,2025-06-01,2025-06-01 00:10:21,0,Weekend,Non-Peak,10.0,5.52,Y,None,2.08,3,311.0,R00818,None
FM100727,DS003,Delhi,Saket,2025-06-01,2025-06-01 00:11:28,0,Weekend,Non-Peak,10.0,7.18,Y,None,2.95,7,295.57,R00302,None
FM102743,DS010,Kolkata,Salt Lake,2025-06-01,2025-06-01 00:12:44,0,Weekend,Non-Peak,10.0,10.51,N,Traffic / Road Congestion,1.74,7,286.79,R01013,Environment
FM102450,DS009,Chennai,T Nagar,2025-06-01,2025-06-01 00:25:37,0,Weekend,Non-Peak,10.0,4.32,Y,None,2.29,6,114.96,R00903,None
FM101772,DS006,Mumbai,Powai,2025-06-01,2025-06-01 00:29:28,0,Weekend,Non-Peak,10.0,3.72,Y,None,0.46,3,468.16,R00618,None
FM100153,DS001,Bengaluru,Koramangala,2025-06-01,2025-06-01 00:32:31,0,Weekend,Non-Peak,10.0,5.72,Y,None,0.67,2,249.6,R00107,None
FM101935,DS007,Hyderabad,Gachibowli,2025-06-01,2025-06-01 00:33:29,0,Weekend,Non-Peak,10.0,6.29,Y,None,1.13,4,172.76,R00705,None
FM102898,DS010,Kolkata,Salt Lake,2025-06-01,2025-06-01 00:44:45,0,Weekend,Non-Peak,10.0,6.27,Y,None,2.92,3,944.99,R01010,None
